station,date,18,21,00,03,06,09,12,15,source,region_id
Аксу-Аюлы,2022-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-11,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.6,Осадки,3
Аксу-Аюлы,2022-09-12,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
Аксу-Аюлы,2022-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Осадки,3
