region_id,harvest_2021,harvest_2022,area_2021,area_2022
1,103046.0,103634.3,548.5,548.5
2,49928.0,50202.8,267.0,267.0
3,302894.1,310000.0,1600.0,1600.7
4,305600.0,320020.0,1598.5,1600.1
5,559656.2,246237.6,2640.0,1239.0
6,231486.1,169280.0,1345.0,920.0
